jurisdiction	circ
10TH CIRCUIT - COURT OF APPEALS	10th
10TH CIRCUIT - U.S. DISTRICT COURTS	10th
COLORADO COURT OF APPEALS	10th
COLORADO SUPREME COURT	10th
KANSAS COURT OF APPEALS	10th
KANSAS SUPREME COURT	10th
NEW MEXICO COURT OF APPEALS	10th
NEW MEXICO SUPREME COURT	10th
OKLAHOMA COURT OF APPEALS	10th
OKLAHOMA COURT OF CRIMINAL APPEALS	10th
OKLAHOMA SUPREME COURT	10th
OTHER UTAH DECISIONS	10th
UTAH COURT OF APPEALS	10th
UTAH SUPREME COURT	10th
WYOMING SUPREME COURT	10th
11TH CIRCUIT - COURT OF APPEALS	11th
11TH CIRCUIT - U.S. BANKRUPTCY COURTS	11th
11TH CIRCUIT - U.S. DISTRICT COURTS	11th
ALABAMA COURT OF APPEALS	11th
ALABAMA COURT OF CIVIL APPEALS	11th
ALABAMA COURT OF CRIMINAL APPEALS	11th
ALABAMA SUPREME COURT	11th
FLORIDA	11th
FLORIDA DISTRICT COURT OF APPEALS	11th
FLORIDA SUPREME COURT	11th
GEORGIA	11th
GEORGIA COURT OF APPEALS	11th
GEORGIA SUPREME COURT	11th
1ST CIRCUIT - COURT OF APPEALS	1st
1ST CIRCUIT - U.S. DISTRICT COURTS	1st
MAINE SUPREME JUDICIAL COURT	1st
MASSACHUSETTS APPEALS COURT	1st
MASSACHUSETTS SUPREME JUDICIAL COURT	1st
NEW HAMPSHIRE SUPREME COURT	1st
OTHER MAINE DECISIONS	1st
OTHER MASSACHUSETTS DECISIONS	1st
OTHER RHODE ISLAND DECISIONS	1st
PUERTO RICO	1st
PUERTO RICO COURT OF APPEALS	1st
PUERTO RICO SUPREME COURT	1st
RHODE ISLAND SUPREME COURT	1st
2ND CIRCUIT - COURT OF APPEALS	2nd
2ND CIRCUIT - U.S. DISTRICT COURTS	2nd
CONNECTICUT APPELLATE COURT	2nd
CONNECTICUT SUPREME COURT	2nd
NEW YORK COURT OF APPEALS	2nd
NEW YORK SUPREME COURT APP. DIV.	2nd
OTHER CONNECTICUT DECISIONS	2nd
OTHER NEW YORK DECISIONS	2nd
OTHER VERMONT DECISIONS	2nd
VERMONT SUPREME COURT	2nd
3RD CIRCUIT - COURT OF APPEALS	3rd
3RD CIRCUIT - U.S. DISTRICT COURTS	3rd
DELAWARE COURT OF CHANCERY	3rd
DELAWARE SUPREME COURT	3rd
NEW JERSEY SUPERIOR COURT	3rd
NEW JERSEY SUPREME COURT	3rd
OTHER DELAWARE DECISIONS	3rd
OTHER NEW JERSEY DECISIONS	3rd
OTHER PENNSYLVANIA DECISIONS	3rd
OTHER VIRGIN ISLANDS DECISIONS	3rd
PENNSYLVANIA COMMONWEALTH COURT	3rd
