howused	group
AmongConflictingAuth	Neutral
Cited	Neutral
CitedConcurring	Neutral
CitedDepublishedConcur	Neutral
CitedDissent	Neutral
CitedInQuestPrec	Neutral
Criticized	Negative
CriticizedInConcurring	Negative
Distinguished	Negative
DistinguishedConcurringOpinion	Neutral
Explained	Neutral
ExplainedByQuestPrec	Neutral
ExplainedInConcurring	Neutral
Followed	Positive
FollowedByQuestPrec	Positive
FollowedInConcurring	Positive
Harmonized	Neutral
InterimDecision	Neutral
SuperByStatInQuestPrec	Negative
SupercededByStatute	Negative
ValidityQuestioned	Negative
